,Value,Size,Growth,Yield,Quality,Vol,Momentum,spx,beta
IT.las,0,0,0.011647884,0,0.018083561,0,0,0,1.182
FIN.las,0.006411219,-0.007295878,-0.106085239,-0.075255065,0.000142354,0.003117065,0.004665655,0.220741493,1.314
ENG.las,0.021168859,0.054985741,0.018274151,0.079125095,-0.02567523,-0.041230968,-0.026896438,0,0.898
COND.las,0,0.017110623,0.019673825,0,0.01422883,3.06E-06,0.005645768,0,1.128
CONS.las,0,-0.038284101,0,0.016449233,0,0.060596108,-0.000339311,0,0.564
HLTH.las,0,0.004655673,0.007499178,0,0,0.007870833,0.055985424,0,0.878
UTIL.las,0,-0.016629907,-0.005455605,0.018550568,-0.047302307,0.071352895,-0.002202998,0,0.302
INDU.las,0.013890206,0.030249113,0,0.010508695,0.021991314,0,-0.017152871,0,1.046
MATR.las,0.106942339,0.022152482,0.153452312,0.047914702,-0.011762262,-0.020549706,-0.025995927,-0.193843391,1.002
TELS.las,0,0,0,0.005984325,0,0.011917468,0,0,0.586
